URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/clean-energy-engagement/6522194534.html,CLEAN ENERGY ENGAGEMENT SPECIALIST,Midtown
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6522122093.html,Construction Project Manager - Remote,Remote
https://newyork.craigslist.org/que/egr/d/project-manager/6522112261.html,Project Manager,Ridgewood
https://newyork.craigslist.org/mnh/egr/d/entry-architect-needed/6522106755.html,Entry Architect needed Midtown NYC,Midtown
https://newyork.craigslist.org/mnh/egr/d/architect-needed-midtown-nyc/6522103814.html,Architect needed Midtown NYC,Midtown
https://newyork.craigslist.org/brk/egr/d/junior-architect-draftsman/6522102844.html,Junior Architect / Draftsman,Brooklyn
https://newyork.craigslist.org/que/egr/d/project-architect/6522062618.html,Project Architect / Professional Engineer (Full Time),Sheepshead Bay
https://newyork.craigslist.org/brk/egr/d/solidworks-project/6522027925.html,SOLIDWORKS PROJECT DRAFTSPERSON @ DESIGN & FABRICATION SHOP,GREENPOINT
https://newyork.craigslist.org/brk/egr/d/residential-decorator/6521952107.html,Residential Decorator/Interior Designer,
https://newyork.craigslist.org/wch/egr/d/architect/6521854038.html,Architect,Dobbs Ferry
https://newyork.craigslist.org/brk/egr/d/fabrication-drafter/6521826405.html,Fabrication Drafter,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/junior-architect-designer/6521765417.html,Junior Architect Designer,Midtown
https://newyork.craigslist.org/mnh/egr/d/industrial-designer-product/6521764573.html,Industrial Designer/ Product Developer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6521120115.html,Junior Architect,Midtown
https://newyork.craigslist.org/mnh/egr/d/contract-architects-designers/6521109871.html,CONTRACT ARCHITECTS & DESIGNERS NEEDED,Financial District
https://newyork.craigslist.org/mnh/egr/d/architect-designer/6521026321.html,ARCHITECT/DESIGNER/DRAFTSPERSON,Financial District
https://newyork.craigslist.org/mnh/egr/d/architects/6520997504.html,Architects,Chelsea
https://newyork.craigslist.org/mnh/egr/d/architectural-designer-revit/6520914198.html,Architectural Designer | Revit,Midtown
https://newyork.craigslist.org/que/egr/d/project-architect/6520829636.html,Project Architect,"Jamaica, NY"
https://newyork.craigslist.org/mnh/egr/d/intermediate-architectural/6520794653.html,Intermediate Architectural Designer / Job Captain,Midtown
https://newyork.craigslist.org/mnh/egr/d/construction-inspector-nicet/6520760856.html,Construction Inspector (NICET),Midtown
https://newyork.craigslist.org/lgi/egr/d/architectural-designer/6520760678.html,Architectural Designer/Draftsman,Inwood
https://newyork.craigslist.org/que/egr/d/junior-architects/6520698035.html,Junior Architect(s),"Jamaica, Queens"
https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6520674396.html,Interior Design Project Manager_ Mr Call Designs,Midtown West
https://newyork.craigslist.org/mnh/egr/d/intermediate-senior-architect/6520647391.html,Intermediate - Senior Architect / Interior Designer,Greenwich Village
https://newyork.craigslist.org/wch/egr/d/technical-project-architect/6520560587.html,Technical Project Architect | Residential + Commercial Projects,"White Plains, NY"
https://newyork.craigslist.org/mnh/egr/d/midtown-architecture-office/6520495458.html,Midtown Architecture Office is hiring Intermediate Architect,Midtown
https://newyork.craigslist.org/que/egr/d/autocad-advance-steel/6520486288.html,AUTOCAD ADVANCE STEEL DETAILER - SHOP DRAWINGS,
https://newyork.craigslist.org/stn/egr/d/autocad-draftsperson/6520418544.html,AutoCAD draftsperson,Staten Island
https://newyork.craigslist.org/brx/egr/d/commercial-roofing-project/6519919726.html,Commercial Roofing Project Manager,"Bronx, NY"
https://newyork.craigslist.org/que/egr/d/drafting-estimating-internship/6519766841.html,DRAFTING/ESTIMATING INTERNSHIP,Long Island City
https://newyork.craigslist.org/mnh/egr/d/achitect-interior-designer/6519686267.html,Achitect / Interior Designer,Chelsea
https://newyork.craigslist.org/que/egr/d/estimator-for-queens-based/6519676521.html,Estimator for queens based HVAC company,Maspeth
https://newyork.craigslist.org/mnh/egr/d/field-verification-specialist/6519619016.html,Field Verification Specialist / Commissioning Agent,Midtown West
https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6519590759.html,Procurement Project Manager with Design/Architecture background needed,Midtown East
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6519577050.html,Junior Architect,Upper East Side
https://newyork.craigslist.org/que/egr/d/project-manager-expediting/6519564416.html,Project Manager - Expediting Firm,
https://newyork.craigslist.org/mnh/egr/d/electrical-estimator-for/6519563933.html,Electrical Estimator for Local #3 Electrical Contractor,Upper East Side
https://newyork.craigslist.org/brk/egr/d/intermediate-architect/6519515013.html,Intermediate Architect,brooklyn
https://newyork.craigslist.org/brk/egr/d/stainless-welder-needed/6519434581.html,Stainless Welder Needed (Experienced Preferred),
